날짜,고객번호,카페,음식점,여행,서점,쇼핑,온라인결제,교통,미용실,병원,주유소,화장품,편의점,주차장,문화,이동통신,학원,스포츠,부동산,자동차,기기,기타,동물병원,세탁소,영화,정육점,해외직구,택시,사우나,보험,테마파크,OTT구독,배달,해외결제,대형마트,항공사,숙박
2022-07-31,2,0,16700,0,0,0,31700,0,0,107100,0,0,0,39900,0,0,0,0,0,0,0,0,0,39690,0,58200,0,0,0,0,0,0,0,0,0,0,0
2022-07-05,2,0,29200,0,0,0,0,0,13000,0,0,0,4400,0,0,0,0,0,0,0,33100,0,0,0,37100,0,0,0,30600,0,0,0,0,0,0,0,0
2022-07-12,2,0,24500,0,48700,0,0,0,0,0,0,0,3900,10400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12900,0,0,0,0
2022-07-21,2,5200,21200,0,44500,0,0,0,0,0,0,0,9300,0,0,0,0,0,0,0,0,0,56900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-24,2,0,16200,0,15400,0,0,0,28000,0,0,0,0,0,0,24370,0,0,0,0,0,0,0,0,0,0,24200,0,0,0,0,0,0,0,48600,0,0
2022-07-07,2,0,0,0,0,0,32800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17950,0,43200,0,0,0,0,0,0,0,0,56600,0,0
2022-07-23,2,0,0,0,0,0,0,0,0,0,0,0,3000,22800,0,0,0,0,0,0,0,0,0,0,0,0,35300,0,0,0,0,0,0,0,0,0,0
2022-07-16,2,0,19000,2319250,48300,0,15000,0,22100,146200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1464130,855120
2022-07-27,2,0,16100,0,0,0,0,0,0,0,0,0,8700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22700,0,0,33600,0,0
2022-07-04,2,0,16500,5986970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25800,650900,47950,0,35600,0,0,0,0,0,0,0,0,0,5259290,727680
2022-07-13,2,18800,27700,0,0,52600,0,0,0,0,0,23900,8200,0,0,0,0,0,0,0,21500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-06,2,0,20400,0,0,21000,0,0,0,0,0,0,8500,0,0,0,0,0,0,0,0,0,0,14050,0,47000,0,0,0,0,0,19600,0,0,0,0,0
2022-07-29,2,0,25300,0,42000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10400,0,0,0,0,0,0,0,0,0
2022-07-28,2,0,16800,0,0,0,0,0,0,0,0,0,4900,18100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14900,14300,0,35500,0,0
2022-07-26,2,0,17300,0,0,260300,0,0,0,0,0,0,0,34600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18400,0,0,0,93800,0,0
2022-07-19,2,0,0,0,0,0,0,0,0,0,2200,0,0,0,95200,0,0,0,0,0,0,0,0,0,30100,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-18,2,19700,15300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39800,0,0,0,0,0,0,0,0,21800,0,0,64093,0,0,0
2022-07-14,2,0,21100,0,0,0,0,0,6200,0,0,0,0,29800,0,0,0,45900,0,0,0,23300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-21,3,8700,21300,0,0,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30300,0,0,0,0
2022-07-25,3,0,29600,0,0,0,0,0,0,0,0,0,7800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28400,0,0,0,97100,0,0
2022-07-24,3,0,15900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19300,0,0,0,0,0,0,0,0,0,0,0,0,0,23300,0,0,0,0,0
2022-07-01,3,0,28100,0,32900,0,0,0,0,0,0,0,3300,0,0,0,0,0,0,0,16300,0,0,0,0,0,14000,0,0,0,10500,0,0,0,0,0,0
2022-07-16,3,0,26800,0,0,0,0,0,0,14000,0,0,0,0,149200,0,0,0,0,0,0,0,0,0,38700,0,0,0,0,10400,10900,0,0,0,76700,0,0
2022-07-19,3,15000,23200,0,0,0,0,0,0,0,0,0,6100,0,0,0,0,0,0,0,0,0,106200,0,0,0,0,0,20200,35300,0,29000,0,0,0,0,0
2022-07-30,3,0,0,0,0,0,0,0,0,0,0,0,8600,0,0,0,0,0,0,537300,0,0,0,0,0,0,20300,0,0,36800,5800,0,0,0,0,0,0
2022-07-07,3,0,21900,0,0,0,0,0,0,69700,33500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38000,0,0,0,0
2022-07-05,3,0,15900,0,0,0,0,0,0,0,0,35200,4600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34900,0,0,0,0,80900,0,0
2022-07-04,3,0,16100,0,0,0,34800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37400,0,0,0,21600,25600,0,0,0,0
2022-07-08,3,0,18000,0,0,0,0,0,0,0,0,0,0,0,61500,0,0,0,0,0,0,7300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-15,3,0,19900,0,0,0,0,0,0,0,0,36300,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19500,0,0,0,0,0
2022-07-14,3,0,0,0,0,0,0,0,11400,0,17200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-22,3,0,0,0,0,0,0,0,0,0,39100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5300,0,0,0,0,0,0,0,0
2022-07-31,3,0,26300,0,0,0,0,0,32100,0,0,0,0,0,0,0,0,37500,0,0,0,0,0,0,0,0,0,0,0,0,0,6500,0,0,0,0,0
2022-07-09,3,0,0,0,0,0,36500,0,0,0,0,0,0,0,0,23694,0,0,0,0,0,0,124900,0,0,0,0,0,0,0,0,20000,0,0,0,0,0
2022-07-29,3,0,28800,0,0,0,0,0,0,0,0,0,0,9200,45900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-02,3,0,20500,0,0,0,8600,0,0,18000,21800,30200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29000,0,0,0,0,0
2022-07-03,3,0,22900,0,0,0,0,0,0,0,0,0,8300,28600,0,0,0,0,0,0,0,18100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-23,3,0,17800,0,0,0,0,0,0,0,0,0,0,0,45900,0,0,26500,0,0,0,28600,0,47020,0,56100,0,31700,0,0,0,0,0,0,0,0,0
2022-07-17,3,0,29300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40700,0,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-13,3,0,0,0,0,0,0,0,0,0,38400,0,0,0,0,0,0,40500,0,0,0,0,0,0,0,0,0,0,7600,0,0,0,0,0,0,0,0
2022-07-27,3,0,15200,0,0,0,0,0,0,0,0,0,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27800,0,0,37400,0,0,0,0
2022-07-26,3,0,22700,0,0,0,0,0,0,124100,0,0,0,0,0,0,0,0,0,0,0,0,277800,0,0,0,0,0,0,31900,32100,0,0,0,0,0,0
2022-07-11,3,0,21700,0,0,0,0,0,8200,0,0,0,0,0,0,0,0,0,0,0,0,23700,0,48850,0,44600,0,0,0,0,14700,0,0,0,0,0,0
2022-07-31,4,0,0,0,0,55200,0,0,24100,9400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-24,4,0,23300,0,0,0,0,0,0,0,0,0,6300,14400,0,0,0,0,0,0,0,0,494300,0,0,0,0,0,0,18900,0,0,0,0,32400,0,0
2022-07-14,4,18100,0,0,0,0,0,0,0,0,0,0,7900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24100,0,37400,0,0,0,0,0,0,0
2022-07-03,4,0,0,0,0,161400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-12,4,0,16000,0,0,0,0,0,39100,0,0,0,0,0,0,0,0,0,0,0,13700,0,0,10380,0,55100,0,30600,0,0,0,0,0,0,60400,0,0
2022-07-05,4,0,23600,0,0,0,0,0,29500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39600,0,0,0,0,24700,0,17100,0,0,0,0,0
2022-07-09,4,0,27200,0,0,0,0,0,39600,0,0,0,0,0,0,0,0,0,0,0,0,9000,0,0,0,0,0,9200,0,0,0,22500,0,0,0,0,0
2022-07-07,4,0,27200,0,0,0,0,0,0,0,35600,0,9800,11600,0,0,0,0,0,0,0,0,129200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-10,4,0,20100,0,0,91100,0,0,0,0,0,0,8400,0,0,0,0,0,0,0,7400,0,0,49850,15000,29100,0,0,0,0,0,0,0,0,0,0,0
2022-07-23,4,0,28100,0,0,0,0,0,10100,0,0,0,6000,0,0,0,0,0,0,0,10700,0,0,0,0,0,0,0,0,0,0,0,0,0,76500,0,0
2022-07-13,4,0,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45010,0,51800,0,26100,0,0,0,0,0,0,0,0,0
2022-07-18,4,0,22600,0,16500,0,0,0,0,0,0,0,0,0,0,19670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-27,4,0,27000,0,0,0,21100,0,0,0,0,0,0,0,0,0,0,24700,0,0,0,15900,0,45630,0,37700,0,0,0,38500,0,0,0,0,0,0,0
2022-07-22,4,19900,15900,0,0,0,0,0,36600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33800,0,0,0,0,0,25005,0,0,0
2022-07-25,4,0,17600,0,0,0,0,0,0,135500,0,0,0,0,0,0,0,0,0,0,0,12100,0,0,0,0,24700,0,0,0,0,0,0,38249,0,0,0
2022-07-01,4,0,21000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16610,0,42900,0,0,0,33000,0,11400,0,0,0,0,0
2022-07-29,4,0,26400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19300,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-02,4,19400,17200,0,0,222200,0,0,34200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-17,4,0,23000,0,0,0,0,0,0,0,0,0,8400,0,29200,0,0,14400,0,0,0,0,0,0,0,0,0,0,0,0,10200,0,0,0,0,0,0
2022-07-16,4,0,21600,3986840,32800,0,0,0,0,0,0,45100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31300,2347760,1639080
2022-07-20,4,0,0,0,0,0,0,0,36500,0,0,34600,0,0,0,0,0,29000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78300,0,0
2022-07-15,4,0,17000,0,0,0,24000,0,18900,0,0,0,9400,21600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86800,0,0
2022-07-19,4,0,0,0,0,0,0,0,0,149800,0,0,0,0,0,0,0,0,0,0,22800,0,0,0,18300,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-06,4,0,16100,0,0,0,0,0,0,0,0,15600,3600,5400,53500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31200,0,0,0,0,0,0
2022-07-12,5,0,26300,0,0,0,0,5600,0,0,0,0,9800,0,0,0,0,0,0,0,0,37900,0,0,0,0,0,0,0,23500,0,0,0,0,0,0,0
2022-07-01,5,0,18200,0,0,0,0,5600,0,0,0,0,0,0,62200,0,0,0,0,0,5600,0,0,25320,15100,44400,0,0,0,0,0,0,0,0,0,0,0
2022-07-09,5,0,23500,0,47800,0,0,5600,0,0,0,0,6800,22500,0,0,0,0,0,0,0,0,0,37410,0,43600,0,0,0,0,0,0,0,0,0,0,0
2022-07-02,5,0,20800,0,0,274700,0,5600,0,101900,0,0,9200,0,166600,0,0,0,0,0,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-17,5,0,24500,0,0,0,0,5600,0,0,0,0,0,21900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39800,0,0,0,0,0,0,0,0
2022-07-30,5,4500,25100,0,0,0,0,5600,0,0,0,0,4800,19100,95900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-25,5,0,28900,0,0,0,0,5600,0,0,0,0,3900,0,0,0,0,0,0,0,0,0,262700,12370,31300,51600,16800,0,0,0,0,0,5200,0,0,0,0
2022-07-15,5,0,0,0,0,0,0,5600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225300,0,0,0,17800,39300,0,0,0,0,0,0,0,0,0
2022-07-18,5,9400,18000,0,0,0,0,5600,0,11500,0,0,4700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,23700,0,0,0,0,0,0,0
2022-07-22,5,0,0,0,0,0,0,5600,9700,0,0,0,7700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20400,0,0,0,13400,38100,0,0,0,0
2022-07-19,5,0,28000,0,0,0,0,5600,24700,0,7600,0,3500,36400,98700,0,0,0,0,0,0,0,0,0,0,0,0,0,33400,0,0,0,0,0,0,0,0
2022-07-24,5,8800,24800,0,0,0,0,5600,16800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17100,0,0,0,0,0,0,0
2022-07-14,5,0,16200,0,0,0,0,5600,0,0,0,19500,0,0,0,0,0,0,0,0,0,0,0,0,11300,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-10,5,0,18800,0,0,0,0,5600,0,0,0,0,0,11200,0,0,0,0,0,0,0,0,0,45570,24000,41100,0,0,0,0,7000,0,0,0,0,0,0
2022-07-13,5,0,0,0,0,0,0,5600,0,92300,6000,0,0,0,0,0,0,0,0,0,0,11200,0,0,0,0,0,0,0,0,0,0,34300,0,0,0,0
2022-07-29,5,13800,29800,0,0,0,0,5600,0,0,0,47900,0,0,0,26973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88500,0,0
2022-07-28,5,0,29500,0,0,0,0,5600,0,0,0,0,0,0,0,0,0,0,0,0,14400,31800,0,0,0,0,18600,0,0,0,0,0,0,0,0,0,0
2022-07-27,5,0,25300,0,0,0,0,5600,9000,0,0,10900,0,21200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-03,5,0,24000,0,0,0,0,5600,0,0,0,0,0,0,0,0,0,0,0,0,0,31900,603200,0,0,0,0,0,0,0,0,0,25300,0,0,0,0
2022-07-07,5,0,0,0,0,0,0,5600,0,0,28800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26100,0,0,0,0,0,0,0,0,0
2022-07-07,6,0,27700,0,0,0,0,0,0,0,0,0,6300,34700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-22,6,0,16100,0,0,0,0,0,36000,0,0,0,0,18100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0
2022-07-02,6,0,20600,0,0,0,35900,0,23400,0,0,0,7800,0,0,0,0,0,0,0,0,27500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-16,6,0,16500,0,0,0,31900,0,0,0,53800,0,6800,12000,0,0,0,0,0,0,0,0,90400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-28,6,0,0,0,0,125000,0,0,0,134300,0,0,7500,0,58000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50300,0,0
2022-07-21,6,8300,21500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19100,0,0,0,0,0,0,0,0,0,0,0,0,8700,0,0,0,0,0,0
2022-07-26,6,0,20300,0,0,0,0,0,0,0,0,0,9700,0,0,0,0,0,0,0,0,0,0,20830,0,45500,0,21400,0,0,0,0,0,0,0,0,0
2022-07-04,6,0,15200,0,0,0,27600,0,33700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29000,12600,0,0,0,0,0,0,0,0
2022-07-03,6,0,0,0,0,0,5900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32100,0,0,12100,0,0,0,0
2022-07-12,6,9800,19500,0,0,0,0,0,10000,0,0,49300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41900,0,0
2022-07-23,6,0,0,0,0,0,0,0,0,0,0,0,0,29800,0,11129,0,0,0,0,0,0,0,0,0,0,20700,0,0,0,0,0,0,0,0,0,0
2022-07-29,6,12900,23100,0,0,0,0,0,12200,0,8200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36500,0,0,0,0
2022-07-24,6,0,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15500,0,0,0,0,0
2022-07-06,6,0,28300,0,0,0,30700,0,26400,0,0,0,3000,0,0,0,0,0,0,0,12200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-18,6,0,20300,0,0,0,0,0,0,0,0,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,0,0,0,12200,0,0,0,0
2022-07-15,6,0,16300,0,0,0,0,0,0,0,38900,0,7300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17000,5500,0,0,0,0,0
2022-07-20,6,0,0,0,0,0,16900,0,0,0,0,0,0,0,0,0,0,0,0,0,20100,0,0,0,0,0,0,0,0,0,25800,13800,0,0,0,0,0
2022-07-09,6,0,22300,0,19100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26700,0,0,0,0
2022-07-25,6,0,20000,0,0,0,0,0,15900,0,0,0,0,0,0,0,0,0,0,0,19500,0,0,0,0,0,0,0,0,0,0,0,13900,0,0,0,0
2022-07-17,6,0,21600,0,0,0,0,0,34500,126700,0,0,0,0,0,0,0,0,0,0,0,13400,336500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-08,6,0,21900,0,0,0,0,0,0,141900,0,0,0,8600,0,0,0,0,0,3083700,0,0,0,0,0,0,0,0,0,33500,0,0,19400,0,0,0,0
2022-07-30,7,0,28500,0,23000,0,0,0,0,0,0,10800,9300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36700,0,0,0,0
2022-07-14,7,0,17400,0,0,0,0,0,0,24700,29200,0,0,0,61200,23515,0,0,0,0,0,0,401400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-02,7,17100,28700,0,29800,0,0,0,0,0,0,23100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-31,7,0,20100,0,0,0,0,0,0,0,0,0,6000,0,95000,0,0,0,0,0,0,0,793600,0,28500,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-13,7,0,16800,0,0,0,0,0,0,0,0,0,3300,0,0,0,0,0,0,0,0,0,0,0,20700,0,0,0,0,0,0,0,0,0,30700,0,0
2022-07-26,7,0,29200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28400,0,16700,8000,0,0,0,0
2022-07-22,7,13200,24600,0,0,43400,0,0,0,0,0,0,0,0,0,0,0,42900,0,0,0,0,0,28780,0,35800,0,0,0,0,0,0,0,0,0,0,0
2022-07-18,7,0,23200,0,26100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24700,294300,0,0,0,0,0,0,0,37800,0,0,0,0,0,0
2022-07-03,7,0,15400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22200,0,0,22000,0,0,0,0,0
2022-07-17,7,0,0,0,0,237800,0,0,0,49600,0,0,8600,0,0,0,0,0,0,0,0,0,0,0,0,0,22800,11600,0,0,0,0,0,0,0,0,0
2022-07-15,7,0,28900,0,23900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-27,7,0,24000,0,0,0,0,0,0,0,0,0,3400,0,0,0,0,0,0,0,0,0,99700,0,0,0,0,0,0,0,19700,36300,0,0,82400,0,0
2022-07-06,7,0,15000,0,0,0,0,0,0,0,0,0,9300,0,0,0,0,0,0,0,0,0,0,0,12200,0,23500,0,0,0,0,6300,0,0,0,0,0
2022-07-07,7,0,16000,0,0,0,0,0,0,0,0,0,6000,0,58000,0,0,0,0,3613000,0,0,0,0,0,0,0,0,0,11900,0,0,0,0,33400,0,0
2022-07-08,7,0,0,0,35500,0,0,0,0,0,0,0,8400,0,0,0,0,0,0,0,0,0,0,0,25300,0,0,0,39300,0,0,0,0,0,0,0,0
2022-07-24,7,0,17900,0,0,0,39300,0,0,0,0,0,0,0,0,0,0,40100,0,0,0,0,0,0,0,0,9100,0,0,0,0,0,0,0,0,0,0
2022-07-12,7,0,0,0,0,0,0,0,0,0,0,0,5600,0,48900,0,0,0,0,0,0,0,154300,0,9000,0,0,0,32900,0,0,0,0,0,0,0,0
2022-07-21,7,0,21600,0,0,0,0,0,11400,0,0,0,5600,0,0,0,0,47000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-20,7,0,25100,0,0,0,0,0,0,0,0,0,9300,0,0,0,0,0,0,0,7500,0,0,7380,0,32700,0,37900,0,0,8800,0,0,0,0,0,0
2022-07-11,7,0,15800,0,0,0,0,0,0,0,0,0,9700,0,0,0,0,0,0,0,0,0,0,0,31400,0,0,0,0,31400,0,0,0,0,0,0,0
2022-07-01,7,0,26100,0,0,0,0,0,0,0,0,0,5300,0,0,0,0,0,0,0,0,0,0,0,0,0,24400,0,0,32100,0,32900,0,0,75200,0,0
2022-07-04,7,0,0,0,0,0,0,0,0,0,0,0,5300,0,22400,0,0,0,0,0,0,0,0,0,0,0,0,11700,0,0,37600,13300,0,0,0,0,0
2022-07-28,7,0,18400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
